id,query,expected_sources,actual_sources,hit_at_1,hit_at_2,recall_at_2,reciprocal_rank_at_2,latency_ms,error
ER001,高价值采购的金额标准是多少？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,503.4068769998612,
ER002,订单金额超过多少人民币属于高价值采购？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,315.49960200004534,
ER003,超过五十万元的采购需要谁审核？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,198.8191820000793,
ER004,高价值订单延期后是否需要额外风险审查？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,190.80536599994957,
ER005,修改采购记录需要什么授权？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,205.2891579999141,
ER006,重复出现交付问题的供应商应该怎么处理？,['procurement_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",False,False,0.0,0.0,276.55793999997513,
ER007,采购经理审核的金额门槛是什么？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,198.3151669999188,
ER008,几天以上的交付延期属于重大延期？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,209.71161000011307,
ER009,十五天以上的延期应该如何定级？,['supplier_policy.txt'],"['supplier_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,200.28262599998925,
ER010,供应商半年内多次延期应如何升级？,['supplier_policy.txt'],"['supplier_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,267.74373200009904,
ER011,评估供应商风险应参考哪些数据？,['supplier_policy.txt'],"['supplier_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,179.60852200008048,
ER012,供应商出现多少次严重延期属于风险升高？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,183.93877900007283,
ER013,重复重大延期是否需要人工采购复核？,['supplier_policy.txt'],"['supplier_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,217.8310760000386,
ER014,供应商风险评估是否应该考虑付款事件？,['supplier_policy.txt'],"['supplier_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,185.944384999857,
ER015,AI 能否未经批准直接创建调查工单？,['risk_policy.txt'],"['risk_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,249.9030120000043,
ER016,高严重度运营风险由谁复核？,['risk_policy.txt'],"['risk_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,181.3616499998716,
ER017,创建调查工单属于读操作还是写操作？,['risk_policy.txt'],"['risk_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,205.08912599984797,
ER018,风险证据不足时系统应该怎么回答？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,220.8904099998108,
ER019,风险分析中事实与推断应该如何处理？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,186.06769899997744,
ER020,哪些状态变更操作必须人工审批？,['risk_policy.txt'],"['risk_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,240.0648299999375,
