id,category,execution_success,task_correct,latency_ms,expected_route,actual_route,route_correct,expected_tools,actual_tools,tool_match,tool_precision,tool_recall,tool_f1,expected_security_status,actual_security_status,security_correct,verification_status,verification_correct,replan_count,error
EW001,general,True,True,6757.909629999972,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EW002,general,True,True,7606.201973999987,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EW003,general,True,True,13526.521535000029,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EW004,general,True,True,8086.898578000046,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EW005,supplier,True,True,6142.473056999961,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW006,supplier,True,True,6310.392497000066,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW007,supplier,True,True,5485.907721999979,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW008,supplier,True,True,8291.308135999998,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW009,order,True,True,9995.728957999972,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW010,order,True,True,25428.149006000014,TOOL_CALL,TOOL_CALL,True,['find_high_risk_orders'],['find_high_risk_orders'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW011,risk,True,True,14238.611321000008,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW012,risk,True,True,10189.51395900001,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EW013,policy_rag,True,False,7189.955348000012,TOOL_CALL,DIRECT_RESPONSE,False,['search_enterprise_policy'],[],False,0.0,0.0,0.0,,,True,,False,0,
EW014,policy_rag,True,False,8055.568209999933,TOOL_CALL,DIRECT_RESPONSE,False,['search_enterprise_policy'],[],False,0.0,0.0,0.0,,,True,,False,0,
