id,query,expected_sources,actual_sources,hit_at_1,hit_at_2,recall_at_2,reciprocal_rank_at_2,latency_ms,error
ER001,高价值采购的金额标准是多少？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1016.6957000037655,
ER002,订单金额达到多少人民币属于高价值采购？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1052.9923000140116,
ER003,超过五十万元的采购需要谁审核？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1083.8241000310518,
ER004,高价值订单延期后是否需要额外风险审查？,['procurement_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",False,False,0.0,0.0,1126.6208000015467,
ER005,修改采购记录需要什么授权？,['procurement_policy.txt'],"['procurement_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,2302.549000014551,
ER006,重复出现交付问题的供应商应该怎么处理？,['procurement_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",False,False,0.0,0.0,1199.3644000031054,
ER007,采购经理审核的金额门槛是什么？,['procurement_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1098.752100020647,
ER008,几天以上的交付延期属于重大延期？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1077.9688999755308,
ER009,十五天以上的延期应该如何定级？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1030.414999986533,
ER010,供应商半年内多次延期应如何升级？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1031.5851000486873,
ER011,评估供应商风险应参考哪些数据？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1048.3683999627829,
ER012,供应商出现多少次严重延期属于风险升高？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1145.6700999988243,
ER013,重复重大延期是否需要人工采购复核？,['supplier_policy.txt'],"['procurement_policy.txt', 'supplier_policy.txt']",False,True,1.0,0.5,1132.2289000381716,
ER014,供应商风险评估是否应该考虑付款事件？,['supplier_policy.txt'],"['supplier_policy.txt', 'supplier_policy.txt']",True,True,1.0,1.0,1121.9834000221454,
ER015,AI 能否未经批准直接创建调查工单？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,1099.700800026767,
ER016,高严重度运营风险由谁复核？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,1339.4535999977961,
ER017,创建调查工单属于读操作还是写操作？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,1115.8953999984078,
ER018,风险证据不足时系统应该怎么回答？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,1572.367699991446,
ER019,风险分析中事实与推断应该如何处理？,['risk_policy.txt'],"['risk_policy.txt', 'risk_policy.txt']",True,True,1.0,1.0,1102.7740000281483,
ER020,哪些状态变更操作必须人工审批？,['risk_policy.txt'],"['risk_policy.txt', 'procurement_policy.txt']",True,True,1.0,1.0,1070.0176000245847,
