id,category,execution_success,task_correct,latency_ms,expected_route,actual_route,route_correct,expected_tools,actual_tools,tool_match,tool_precision,tool_recall,tool_f1,expected_security_status,actual_security_status,security_correct,verification_status,verification_correct,replan_count,error
EB001,general_knowledge,True,True,7306.492540999954,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB002,general_knowledge,True,True,11277.844721999998,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB003,general_knowledge,True,True,7417.3888870000155,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB004,general_knowledge,True,True,7589.824051999984,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB005,general_knowledge,True,True,8461.353240000051,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB006,general_knowledge,True,True,9908.778616999996,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB007,general_knowledge,True,True,13051.652710999973,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB008,general_knowledge,True,True,7397.502164999992,DIRECT_RESPONSE,DIRECT_RESPONSE,True,[],[],True,1.0,1.0,1.0,,,True,,True,0,
EB009,supplier_lookup,True,True,8537.731891000021,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB010,supplier_lookup,True,True,7039.463904999991,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB011,supplier_lookup,True,True,4901.450684999986,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB012,supplier_lookup,True,True,4777.263017999985,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB013,supplier_lookup,True,True,5566.069524999989,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB014,supplier_lookup,True,True,7638.679400000001,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB015,supplier_lookup,True,True,4813.8487689999465,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB016,supplier_lookup,True,True,6094.8541399999385,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB017,supplier_lookup,True,True,5526.410956999939,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB018,supplier_lookup,True,True,5646.858718999965,TOOL_CALL,TOOL_CALL,True,['get_supplier'],['get_supplier'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB019,supplier_filter,True,True,6591.9642300000305,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB020,supplier_filter,True,True,7956.140837999897,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB021,supplier_filter,True,True,9123.000178999973,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB022,supplier_filter,True,True,6213.544994000017,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB023,supplier_filter,True,True,9763.405018999947,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB024,supplier_filter,True,True,9461.217711000018,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB025,supplier_filter,True,True,6627.12825199992,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB026,supplier_filter,True,True,6657.159129000092,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB027,supplier_filter,True,True,6399.950654000008,TOOL_CALL,TOOL_CALL,True,['list_suppliers'],['list_suppliers'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB028,order_lookup,True,True,5725.219680000009,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB029,order_lookup,True,True,13247.11674499997,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,2,
EB030,order_lookup,True,True,4887.194951999959,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB031,order_lookup,True,True,6432.96653799996,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB032,order_lookup,True,True,5477.063863000012,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB033,order_lookup,True,True,5755.140608000033,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB034,order_lookup,True,True,5290.197092999961,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB035,order_lookup,True,True,6649.073143999999,TOOL_CALL,TOOL_CALL,True,['get_purchase_order'],['get_purchase_order'],True,1.0,1.0,1.0,,,True,PASS,True,0,
EB036,risk_event,True,True,15543.55186600003,TOOL_CALL,TOOL_CALL,True,['list_risk_events'],['list_risk_events'],True,1.0,1.0,1.0,,,True,PASS,True,0,
